Project,FilePath,ClassName,ClassType,Status,ReplacedBy,Notes
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/AccessController.cs,AccessController,Controller,Converted,IManageSecurityAsync,New IManageSecurityAsync + ManageSecurityAsync (Task.FromResult stepping-stone); CancellationToken added
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ActivityController.cs,ActivityController,Controller,Converted,IProductService,IManageProduct → IProductService; Task.Run removed; ListProductsAsync; LogActivity.WriteActivity called directly (fire-and-forget audit log)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/BatchProcessController.cs,BatchProcessController,Controller,Converted,IBatchProcessServiceAsync,New IBatchProcessServiceAsync + BatchProcessServiceAsync (Task.FromResult stepping-stone wrapping 4 concrete batch logic classes); new-inside-action anti-pattern encapsulated; CancellationToken added to all 4 actions
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/BlueBookController.cs,BlueBookController,Controller,Converted,IManageBlueBookAsync,Injected IManageBlueBookAsync (already existed); Task.Run() removed; CancellationToken added; no new LogicAsync files needed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ConfigurationSettingController.cs,ConfigurationSettingController,Controller,Converted,IManageConfigurationSettingAsync,New IManageConfigurationSettingAsync + ManageConfigurationSettingAsync (Task.FromResult stepping-stone); Task.Run removed; CancellationToken added to all 4 actions
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ContactMechanismController.cs,ContactMechanismController,Controller,Converted,IContactMechanismRepositoryAsync,Direct repo swap IContactMechanismRepository→IContactMechanismRepositoryAsync; unused IManageContactMechanism removed; Task.Run removed; CancellationToken added
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ContactMechanismUsageTypeController.cs,ContactMechanismUsageTypeController,Controller,Converted,IContactMechanismUsageTypeRepositoryAsync,Direct repo swap to IContactMechanismUsageTypeRepositoryAsync; CancellationToken added
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/CredentialController.cs,CredentialController,Controller,Converted,IManageCredentialAsync + IUserLoginRepositoryAsync,New IManageCredentialAsync + ManageCredentialAsync (Task.FromResult); IUserLoginRepository → IUserLoginRepositoryAsync; removed dead ILogger param; SetTemporaryPassword new-inside-action encapsulated via SetTemporaryPasswordAsync(userClaim); all 13 actions await; CancellationToken added
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ElectronicAddressController.cs,ElectronicAddressController,Controller,Converted,IElectronicAddressRepositoryAsync + IContactMechanismRepositoryAsync,Consolidated 3 sync deps to 2 async repos; all 3 actions use sequential awaits with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/EmailController.cs,EmailController,Controller,Converted,IManageEmailAsync,New IManageEmailAsync + ManageEmailAsync (truly async via await httpClient.SendAsync); Task.Run() removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/EmployeeAccessController.cs,EmployeeAccessController,Controller,Converted,IManageEmployeeAccessAsync,New IManageEmployeeAccessAsync + ManageEmployeeAccessAsync (Task.FromResult stepping-stone); retry logic moved from controller to LogicAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/MultiFactorAuthController.cs,MultiFactorAuthController,Controller,Converted,ITwoFactorLogicAsync,New ITwoFactorLogicAsync + TwoFactorLogicAsync (truly async via ITwoFactorRepositoryAsync + IUserLoginRepositoryAsync)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/OrganizationController.cs,OrganizationController,Controller,Converted,IManageOrganizationAsync + IManageOrganizationProductAsync + IManageCustomFieldsAsync + IManageUserLoginAsync + IManagePartyRelationshipAsync + IManageBlueBookAsync + IManageProductAsync + IManageCredentialAsync + IManagePersonAsync + IManagePersonaAsync,God-Controller 28 actions; 14→12 deps (removed IProductInternalSettingRepository+IManageProductOneSite unused); new ManageOrganization(userClaim) anti-pattern replaced via userClaim overloads on IManageOrganizationAsync; RecreateClaimsForClientAsync returns DefaultUserClaim (ref not allowed in async); Parallel.ForEach preserved with GetAwaiter().GetResult() in sync lambdas; 7 new LogicAsync wrappers + DI registrations added
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PartyRelationshipController.cs,PartyRelationshipController,Controller,Converted,IPartyRelationshipRepositoryAsync,Injected IPartyRelationshipRepositoryAsync directly (no Logic layer needed — controller already thin); Task.Run() removed; CancellationToken added to both actions; inline result object construction
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PasswordPolicyController.cs,PasswordPolicyController,Controller,Converted,IManagePasswordPolicyAsync,Injected IManagePasswordPolicyAsync; CancellationToken added to all 3 actions; Task.Run() removed; await chain end-to-end
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PersonaController.cs,PersonaController,Controller,Converted,IManagePersonaAsync + IProductService + IProductInternalSettingRepositoryAsync + IManageUserRoleRightAsync,4 sync deps replaced with async equivalents; IManageProduct→IProductService (GetAssignedProductsByPersonaAsync + UpdateProductSettingAsync); IProductInternalSettingRepository→IProductInternalSettingRepositoryAsync; IManageUserRoleRight→IManageUserRoleRightAsync; GetPersonaWithRightsToggle→GetPersonaAsync(withRights:false); all 6 actions genuinely async with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PersonaV2Controller.cs,PersonaV2Controller,Controller,Converted,,ALREADY uses IManagePersonaAsync + IProductService + IManageUserRoleRightAsync; reference implementation
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PersonController.cs,PersonController,Controller,Converted,IManagePersonAsync + IProfileService + IManagePersonaAsync + IManageCustomFieldsAsync + IManageUserLoginAsync + IManageUnifiedSettingsAsync,6 sync deps → 6 async; IManageProfile.ListProfileDetails(globals) → IProfileService.ListPersonsAsync(null realPageId null datafilter isExport ct); globals dict anti-pattern eliminated; GetUnifiedSettingsForOperator private helper inlined as await GetCompanyInternalSettingsAsync; IManagePersonAsync extended with CreatePersonAsync+UpdatePersonAsync; IProfileService registered in DI; all 7 actions genuinely async with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PostalAddressController.cs,PostalAddressController,Controller,Converted,IManageContactMechanismAsync + IManageStreetAddressAsync + IManageGeographicBoundaryAsync + IManagePostalAddressAsync,5 sync deps → 4 async (IPostalAddressRepository unused so dropped); Task.Run() blocks unwrapped into sequential awaits; new IManageContactMechanismAsync + IManageStreetAddressAsync + IManageGeographicBoundaryAsync + IManagePostalAddressAsync wrappers created; all 3 actions genuinely async with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/PreferredContactMethodController.cs,PreferredContactMethodController,Controller,Converted,IPreferredContactMethodRepositoryAsync,Direct repo swap to IPreferredContactMethodRepositoryAsync; CancellationToken added; DI registration fix in BusinessLogicExtensions.cs
